,saga,books,number,finished
221,Skulduggery Pleasant,"['Skulduggery Pleasant', 'Playing with Fire', 'The Faceless Ones', 'Dark Days', 'Mortal Coil', 'Last Stand of Dead Men', 'Kingdom of the Wicked', 'The Dying of the Light']",8,No
222,A Bridge of Leaves,['A Suitable Boy'],1,No
223,The Sandman,"['Preludes & Nocturnes', 'Brief Lives', 'The Kindly Ones', 'Season of Mists', 'Dream Country', ""The Doll's House"", 'A Game of You', 'Fables & Reflections', 'The Wake', ""Worlds' End""]",10,Yes
224,The Ascendance Series,"['The False Prince', 'The Runaway King', 'The Shadow Throne']",3,Yes
225,Tomorrow,"['Tomorrow, When the War Began']",1,No
226,Cocktail,"['Wallbanger', 'Rusty Nailed', 'Screwdrivered', ""Mai Tai'd Up""]",4,No
227,Hometown,"['Hometown Girl at Heart', 'Hometown Girl After All', 'Hometown Girl Forever', 'Christmas in Smithville', 'Hometown Girl Again']",5,No
228,The Black Magician Trilogy,"['The High Lord', ""The Magicians' Guild"", 'The Novice']",3,Yes
229,Revenants,"['Die for Me', 'Until I Die', 'If I Should Die']",3,No
230,Keeper of the Lost Cities,"['Keeper of the Lost Cities', 'Everblaze', 'Exile', 'Neverseen', 'Lodestar', 'Legacy']",6,No
231,Guild Hunter,"[""Angels' Blood"", ""Archangel's Kiss"", ""Archangel's Consort"", ""Archangel's Blade"", ""Archangel's Legion"", ""Archangel's Storm"", ""Archangel's Enigma"", ""Archangel's Shadows""]",8,No
232,The Game,['Master of the Game'],1,Yes
233,North and South,"['North and South', 'Heaven and Hell', 'Love and War']",3,No
234,On the Island,['On the Island'],1,No
235,Oxford Time Travel,"['Doomsday Book', 'To Say Nothing of the Dog']",2,Yes
236,The Land of Stories,"['The Wishing Spell', 'The Enchantress Returns', 'A Grimm Warning', 'Beyond the Kingdoms', 'Worlds Collide', ""An Author's Odyssey""]",6,No
237,Seven Realms,"['The Demon King', 'The Exiled Queen', 'The Crimson Crown', 'The Gray Wolf Throne']",4,Yes
238,The Eight,"['The Eight', 'The Fire']",2,Yes
239,Caraval,"['Caraval', 'Legendary', 'Finale']",3,No
240,Lords of the Underworld,"['The Darkest Night', 'The Darkest Kiss', 'The Darkest Whisper']",3,Yes
241,Dragonriders of Pern,"['Dragonflight', 'The White Dragon', 'Dragonquest']",3,No
242,Parasol Protectorate,"['Soulless', 'Changeless', 'Blameless', 'Timeless', 'Heartless']",5,Yes
243,Hamilton High,"['The DUFF: Designated Ugly Fat Friend', 'Shut Out']",2,Yes
244,Abhorsen,"['Lirael', 'Abhorsen', 'Clariel']",3,No
245,This Man,"['This Man', 'This Man Confessed', 'Beneath This Man']",3,No
246,The Chemical Garden,"['Wither', 'Fever', 'Sever']",3,No
247,Beautiful Bastard,"['Beautiful Bastard', 'Beautiful Stranger', 'Beautiful Player']",3,Yes
248,The Forest of Hands and Teeth,"['The Forest of Hands and Teeth', 'The Dead-Tossed Waves', 'The Dark and Hollow Places']",3,No
249,Breathing,"['Reason to Breathe', 'Barely Breathing', 'Out of Breath']",3,No
250,Midnight Breed,"['Kiss of Midnight', 'Midnight Awakening', 'Kiss of Crimson', 'Midnight Rising', 'Veil of Midnight', 'Ashes of Midnight', 'Deeper Than Midnight', 'Darker After Midnight', 'Taken by Midnight', 'Shades of Midnight', 'Edge of Dawn']",11,No
251,Ringworld,"['Ringworld', 'The Ringworld Engineers', ""Ringworld's Children"", 'The Ringworld Throne']",4,No
252,Cole Family Trilogy,['The Physician'],1,No
253,The Queen's Thief,"['The King of Attolia', 'The Thief', 'The Queen of Attolia', 'A Conspiracy of Kings']",4,No
254,The Young Elites,"['The Young Elites', 'The Rose Society', 'The Midnight Star']",3,Yes
255,The Magicians,"['The Magicians', 'The Magician King', ""The Magician's Land""]",3,Yes
256,Just One Day,"['Just One Day', 'Just One Year']",2,Yes
257,Chicagoland Vampires,"['Some Girls Bite', 'Friday Night Bites']",2,Yes
258,Silo,"['Wool Omnibus', 'Shift', 'Dust']",3,No
259,The Diviners,"['The Diviners', 'Lair of Dreams']",2,No
260,The Vampire Diaries: The Return,"['Nightfall', 'Shadow Souls', 'Midnight']",3,Yes
261,The Remnant Chronicles,"['The Kiss of Deception', 'The Heart of Betrayal', 'The Beauty of Darkness']",3,Yes
262,Magnus Chase and the Gods of Asgard,"['The Sword of Summer', 'The Hammer of Thor', 'The Ship of the Dead']",3,No
263,Dust Lands,"['Blood Red Road', 'Rebel Heart', 'Raging Star']",3,No
264,Splintered,"['Splintered', 'Unhinged']",2,No
265,Leviathan,"['Leviathan', 'Behemoth', 'Goliath']",3,No
266,The Winner's Trilogy,"[""The Winner's Curse"", ""The Winner's Crime"", ""The Winner's Kiss""]",3,No
267,The Wrath and the Dawn,"['The Wrath and the Dawn', 'The Rose & the Dagger']",2,No
268,After,"['After', 'After We Collided', 'One Second After', 'After Ever Happy', 'After We Fell', 'The Final Day']",6,Yes
269,Lumatere Chronicles,"['Finnikin of the Rock', 'Froi of the Exiles', 'Quintana of Charyn']",3,No
270,The Mediator,"['Twilight', 'Shadowland', 'Reunion', 'Haunted', 'Darkest Hour', 'Ninth Key']",6,Yes
271,Eon,"['Eon: Dragoneye Reborn', 'Eona: The Last Dragoneye']",2,Yes
272,The Testing,"['The Testing', 'Graduation Day', 'Independent Study']",3,Yes
273,Warbreaker,['Warbreaker'],1,Yes
274,Nevermore,['Nevermore'],1,No
275,Dozory,"['Night Watch', 'Day Watch', 'Twilight Watch', 'The Last Watch']",4,Yes
276,The Liveship Traders,"['Ship of Magic', 'Ship of Destiny', 'The Mad Ship']",3,No
277,Psy-Changeling,"['Slave to Sensation', 'Caressed by Ice', 'Heart of Obsidian', 'Kiss of Snow', 'Hostage to Pleasure', 'Visions of Heat', 'Mine to Possess', 'Branded by Fire', 'Shards of Hope', 'Play of Passion', 'Tangle of Need', 'Bonds of Justice', 'Allegiance of Honor', 'Blaze of Memory']",14,No
278,Daddy-Long-Legs,"['Daddy-Long-Legs', 'Dear Enemy']",2,Yes
279,The Sight,"['The Sight', 'Fell']",2,No
280,The Coincidence,"['The Coincidence of Callie & Kayden', 'The Redemption of Callie & Kayden', 'The Destiny of Violet & Luke', 'The Resolution of Callie and Kayden']",4,No
281,"Memory, Sorrow, and Thorn","['The Dragonbone Chair', 'Stone of Farewell', 'To Green Angel Tower']",3,No
282,The Horn King,['The Orb of Truth'],1,Yes
283,His Fair Assassin,"['Grave Mercy', 'Dark Triumph', 'Mortal Heart']",3,No
284,Avalon High,['Avalon High'],1,No
285,Tangled,"['Tangled', 'Twisted', 'Tamed']",3,No
286,The Once and Future King,"['The Sword in the Stone', 'The Book of Merlyn', 'The Witch in the Wood', 'The Ill-Made Knight']",4,No
287,Heist Society,"['Heist Society', 'Uncommon Criminals']",2,No
288,The Tattooist of Auschwitz,['The Tattooist of Auschwitz'],1,Yes
289,Little House,['These Happy Golden Years'],1,Yes
290,The Tea Rose,"['The Tea Rose', 'The Winter Rose']",2,No
291,Ramses the Damned,['The Mummy'],1,No
292,Lord Peter Wimsey,"['Gaudy Night', ""Busman's Honeymoon""]",2,Yes
293,Dream Cycle,['Dream Caster'],1,Yes
294,The Books of Pellinor,"['The Naming', 'The Riddle', 'The Singing', 'The Crow']",4,Yes
295,Night Huntress World,"['First Drop of Crimson', 'Eternal Kiss of Darkness']",2,Yes
296,Leaving Paradise,"['Leaving Paradise', 'Return to Paradise']",2,Yes
297,Seraphina,['Seraphina'],1,No
298,The Baroque Cycle,"['Quicksilver', 'The Confusion', 'The System of the World']",3,No
299,Maybe,['Maybe Someday'],1,Yes
300,Montgomery/Taggert (Publication order),"['A Knight in Shining Armor', 'Wishes', 'The Velvet Promise', 'Always', 'Forever and Always', 'The Princess', 'Forever...', 'The Invitation', 'Sweet Liar', 'Eternity', 'Just Curious', 'Twin of Ice', 'The Black Lyon', 'Mountain Laurel']",14,No
301,Jeremy Marsh & Lexie Darnell,"['At First Sight', 'True Believer']",2,Yes
302,Cirque du Freak,"['A Living Nightmare', 'Sons of Destiny', ""The Vampire's Assistant"", 'The Lake of Souls', 'Tunnels of Blood', 'The Vampire Prince', 'Lord of the Shadows', 'Killers of the Dawn', 'Trials of Death', 'Vampire Mountain', 'Hunters of the Dusk', 'Allies of the Night']",12,Yes
303,Mateguas Island,['Mateguas Island: A Novel of Horror and Suspense'],1,No
304,The Body Finder,"['The Body Finder', 'Desires of the Dead', 'The Last Echo']",3,Yes
305,The Coming Storm,['Blood & Spirits'],1,No
306,The Chronicles of Prydain,"['The Book of Three', 'The Black Cauldron', 'The High King', 'Taran Wanderer', 'The Castle of Llyr']",5,No
307,Women at Work,['Love on the Line'],1,No
308,Strange the Dreamer,"['Strange the Dreamer', 'Muse of Nightmares']",2,Yes
309,Cannie Shapiro,['Good in Bed'],1,No
310,Wake,"['Wake', 'Fade', 'Gone']",3,Yes
311,White Rabbit Chronicles,"['Alice in Zombieland', 'Through the Zombie Glass', 'The Queen of Zombie Hearts', 'A Mad Zombie Party']",4,Yes
312,Charley Davidson,['First Grave on the Right'],1,Yes
313,Daughter of the Lioness,"[""Trickster's Choice"", ""Trickster's Queen""]",2,Yes
314,Anna,"['Anna Dressed in Blood', 'Girl of Nightmares']",2,No
315,The Fray Theory,['Resonance'],1,No
316,Angelfire,"['Angelfire', 'Wings of the Wicked', 'Shadows in the Silence']",3,Yes
317,Tales of the Otori,"['Across the Nightingale Floor', 'Brilliance of the Moon', 'Grass for His Pillow', ""Heaven's Net Is Wide""]",4,No
318,Time,"['Time and Again', 'From Time to Time']",2,Yes
319,Pha Yul,['Circle of Five'],1,No
320,Montague Siblings,"[""The Gentleman's Guide to Vice and Virtue"", ""The Lady's Guide to Petticoats and Piracy""]",2,Yes
321,The Broken Earth,"['The Fifth Season', 'The Stone Sky', 'The Obelisk Gate']",3,Yes
322,The Lymond Chronicles,"['The Game of Kings', 'Checkmate', 'Pawn in Frankincense', 'The Disorderly Knights', 'The Ringed Castle', ""Queens' Play""]",6,Yes
323,Starters,"['Starters', 'Enders']",2,No
324,The Bone Season,"['The Bone Season', 'The Mime Order', 'The Song Rising']",3,Yes
325,Culture,"['The Player of Games', 'Use of Weapons', 'Consider Phlebas', 'Excession', 'The State of the Art', 'Look to Windward', 'Matter', 'Surface Detail']",8,No
326,The Drenai Saga,"['Legend', 'Waylander', 'The King Beyond the Gate', 'The Legend of Deathwalker', 'The First Chronicles of Druss the Legend', 'White Wolf', 'Quest for Lost Heroes', 'In the Realm of the Wolf', 'The Swords of Night and Day', 'Winter Warriors', 'Hero in the Shadows']",11,No
327,Dragonlance: Chronicles,"['Dragons of Autumn Twilight', 'Dragons of Winter Night']",2,Yes
328,Wildwood,"['Wildwood Dancing', ""Cybele's Secret""]",2,Yes
329,The Mysterious Benedict Society,"['The Mysterious Benedict Society and the Perilous Journey', ""The Mysterious Benedict Society and the Prisoner's Dilemma"", 'The Extraordinary Education of Nicholas Benedict']",3,Yes
330,Malazan Book of the Fallen,"['Memories of Ice', 'Gardens of the Moon', 'Deadhouse Gates', 'The Bonehunters', 'Midnight Tides', ""Reaper's Gale"", 'House of Chains', 'Toll the Hounds', 'Dust of Dreams']",9,No
331,Todd Family,['Life After Life'],1,No
332,Lightbringer,"['The Black Prism', 'The Blinding Knife', 'The Broken Eye', 'The Blood Mirror']",4,No
333,Westmoreland Saga,"['Whitney, My Love', 'A Kingdom of Dreams', 'Until You']",3,No
334,Septimus Heap,"['Magyk', 'Flyte', 'Physik', 'Darke', 'Fyre', 'Syren']",6,Yes
335,Modern Faerie Tales,"['Tithe', 'Valiant', 'Ironside']",3,No
336,Shiva Trilogy,"['The Immortals of Meluha', 'The Secret of the Nagas']",2,No
337,Rosemary's Baby,"[""Rosemary's Baby""]",1,Yes
338,Peter and the Starcatchers,"['Peter and the Starcatchers', 'Peter and the Shadow Thieves', 'The Bridge to Never Land', 'Peter and the Secret of Rundoon']",4,No
339,Raven's Shadow,"['Blood Song', 'Tower Lord']",2,Yes
340,John Dies at the End,"['John Dies at the End', 'This Book Is Full of Spiders']",2,Yes
341,Secret,"['The Name of This Book Is Secret', 'This Book Is Not Good for You', ""If You're Reading This, It's Too Late"", ""This Isn't What It Looks Like"", 'You Have to Stop This']",5,Yes
342,The Trials of Apollo,"['The Hidden Oracle', 'The Dark Prophecy', ""The Tyrant's Tomb"", 'The Burning Maze']",4,No
343,The Others,"['Written in Red', 'Murder of Crows', 'Vision in Silver', 'Marked in Flesh', 'Etched in Bone']",5,No
344,Dorothy Must Die,"['Dorothy Must Die', 'The Wicked Will Rise', 'Yellow Brick War', 'The End of Oz']",4,No
345,World of the Five Gods (Publication),"['The Curse of Chalion', 'Paladin of Souls', 'The Hallowed Hunt']",3,No
346,The Reckoners,"['Steelheart', 'Calamity', 'Firefight']",3,Yes
347,Angel,"['Angel', 'Angel Fire', 'Angel Fever', 'Angel In The Shadows']",4,No
348,I nostri antenati,['The Baron in the Trees'],1,No
349,Falling Kingdoms,"['Falling Kingdoms', 'Frozen Tides', 'Crystal Storm', 'Rebel Spring', 'Immortal Reign', 'Gathering Darkness']",6,Yes
350,Legacy of Orisha,"['Children of Blood and Bone', 'Children of Virtue and Vengeance']",2,Yes
351,Codex Alera,"['Furies of Calderon', ""Academ's Fury"", ""Captain's Fury"", ""First Lord's Fury"", ""Cursor's Fury"", ""Princeps' Fury""]",6,Yes
352,Dune,"['Dune Messiah', 'Heretics of Dune', 'Chapterhouse: Dune', 'Sandworms of Dune', 'Hunters of Dune']",5,No
353,Goddess Test,"['The Goddess Test', 'Goddess Interrupted', 'The Goddess Inheritance']",3,No
354,Bird Box,['Bird Box'],1,No
355,The Nevernight Chronicle,"['Nevernight', 'Godsgrave', 'Darkdawn']",3,No
356,Newsflesh,"['Feed', 'Blackout', 'Deadline']",3,No
357,Winternight Trilogy,"['The Bear and the Nightingale', 'The Girl in the Tower', 'The Winter of the Witch']",3,Yes
358,The Violet Eden Chapters,"['Embrace', 'Emblaze', 'Empower']",3,Yes
359,The Missing,"['Found', 'Sent', 'Sabotaged', 'Torn', 'Caught']",5,No
360,Protector of the Small,"['First Test', 'Squire', 'Lady Knight', 'Page']",4,No
361,Undead,"['Undead and Unwed', 'Undead and Unappreciated', 'Undead and Unemployed', 'Undead', 'Undead and Unreturnable', 'Undead and Unpopular', 'Undead and Uneasy', 'Undead and Unworthy', 'Undead and Unwelcome']",9,Yes
362,Marked Men,"['Rule', 'Jet', 'Rome', 'Asa', 'Rowdy']",5,No
363,Earthseed,"['Parable of the Sower', 'Parable of the Talents']",2,Yes
364,The Warlord Chronicles,"['The Winter King', 'Enemy of God', 'Excalibur']",3,Yes
365,Green Rider,"['Green Rider', ""First Rider's Call"", ""The High King's Tomb"", 'Blackveil', 'Mirror Sight']",5,No
366,Captive Prince,"['Captive Prince', 'Kings Rising']",2,No
367,The Chronicles of Vladimir Tod,"['Eighth Grade Bites', 'Twelfth Grade Kills', 'Ninth Grade Slays', 'Tenth Grade Bleeds', 'Eleventh Grade Burns']",5,No
368,Love,"['Love Unscripted', 'Love Unrehearsed']",2,Yes
369,Soul Screamers,"['My Soul to Take', 'My Soul to Steal', 'My Soul to Keep', 'My Soul to Save', 'If I Die', 'Before I Wake', 'With All My Soul']",7,Yes
370,The Greek Isles Series,['Spellbound in His Arms'],1,No
371,Virals,"['Virals', 'Seizure', 'Code', 'Exposure', 'Exposure']",5,Yes
372,The Broken Empire,"['Prince of Thorns', 'Emperor of Thorns', 'King of Thorns']",3,Yes
373,Chronicles of Nick,"['Infinity', 'Invincible', 'Infamous']",3,No
374,Taking Chances,['Taking Chances'],1,Yes
375,Slains,"['The Winter Sea', 'The Firebird']",2,No
376,Neighbor from Hell,"['Playing for Keeps', 'Checkmate', 'Perfection']",3,No
377,Dark Swan,"['Storm Born', 'Iron Crowned', 'Thorn Queen']",3,Yes
378,Little Blue Envelopes,"['13 Little Blue Envelopes', 'The Last Little Blue Envelope']",2,Yes
379,Razorland,"['Enclave', 'Outpost', 'Horde']",3,No
380,Skinjacker,"['Everlost', 'Everwild', 'Everfound']",3,Yes
381,The Serve,"['The Call to Serve', 'Love in the Victory Garden']",2,No
382,The Archived,"['The Archived', 'The Unbound']",2,No
383,Partials Sequence,"['Partials', 'Fragments', 'Ruins']",3,Yes
384,Pride and Prejudice and Zombies,['Pride and Prejudice and Zombies'],1,Yes
385,Jonathan Harkon Adventures,['The Meat Market'],1,No
386,The Hollow,['The Hollow'],1,No
387,METRO,"['Metro 2033', 'Metro 2035']",2,No
388,The Absolute Sandman,"['The Absolute Sandman, Volume One', 'The Absolute Sandman, Volume Three', 'The Absolute Sandman, Volume Two', 'The Absolute Sandman, Volume Four']",4,No
389,The Girl With All the Gifts,"['The Girl With All the Gifts', 'The Boy on the Bridge']",2,Yes
390,The Legend of Drizzt,"['Homeland', 'Exile', 'The Crystal Shard', 'Sojourn', 'Streams of Silver', ""The Halfling's Gem"", 'The Legacy']",7,No
391,Never Never,"['Never Never', 'Never Never: Part Two', 'Never Never: Part Three']",3,Yes
392,Temeraire,"[""His Majesty's Dragon"", 'Black Powder War', 'Throne of Jade', 'Victory of Eagles', 'Crucible of Gold', 'Blood of Tyrants', 'Empire of Ivory']",7,Yes
393,Nanny,['The Nanny Diaries'],1,Yes
394,The Tawny Man,"[""Fool's Errand"", 'Golden Fool']",2,Yes
395,Dragon Slippers,"['Dragon Slippers', 'Dragon Flight', 'Dragon Spear']",3,Yes
396,The Two Princesses of Bamarre,['The Two Princesses of Bamarre'],1,Yes
397,Night School,"['Night School', 'Fracture', 'Legacy', 'Endgame', 'Resistance']",5,No
398,First Law World,"['Best Served Cold', 'The Heroes', 'Red Country']",3,Yes
399,Aztec,['Aztec'],1,Yes
400,Star Wars: The Thrawn Trilogy,"['Heir to the Empire', 'The Last Command', 'Dark Force Rising']",3,No
401,Valdemar: The Last Herald-Mage,"[""Magic's Pawn"", ""Magic's Price"", ""Magic's Promise""]",3,No
402,Fallen Crest High,['Fallen Crest High'],1,Yes
403,Valdemar: Heralds of Valdemar,"['Arrows of the Queen', ""Arrow's Fall"", ""Arrow's Flight""]",3,No
404,Vorkosigan Saga (Publication Order),"[""The Warrior's Apprentice"", 'The Vor Game', 'A Civil Campaign', 'Brothers in Arms', 'Memory', 'Komarr', 'Mirror Dance', 'Barrayar', 'Diplomatic Immunity', 'Cetaganda', 'CryoBurn', 'Falling Free', 'Ethan of Athos', ""Captain Vorpatril's Alliance""]",14,Yes
405,Starbound,"['These Broken Stars', 'This Shattered World', 'Their Fractured Light']",3,Yes
406,Abarat,['Abarat'],1,Yes
407,The Dark Is Rising,"['The Dark Is Rising', 'The Grey King', 'Greenwitch', 'Silver on the Tree']",4,No
408,The Golem and the Jinni,['The Golem and the Jinni'],1,No
409,Emily,"['Emily of New Moon', ""Emily's Quest"", 'Emily Climbs']",3,Yes
410,The Lover,['The Lover'],1,No
411,Chronicles of Ancient Darkness,"['Wolf Brother', 'Ghost Hunter', 'Soul Eater', 'Outcast', 'Oath Breaker', 'Spirit Walker']",6,Yes
412,The One and Only Ivan,['The One and Only Ivan'],1,No
413,The Woman in Black,['The Woman in Black'],1,Yes
414,The Strain Trilogy,"['The Strain', 'The Fall']",2,Yes
415,Fifty Shades as Told by Christian,"['Grey', 'Darker']",2,No
416,Wool,['Wool'],1,Yes
417,First Comes Love,"['I Have Never', 'Love Connection', 'Second Chance', 'First Comes Love', 'Finally, Forever']",5,No
418,Pendragon,"['The Merchant of Death', 'The Never War', 'Black Water', 'The Rivers of Zadaa', 'The Reality Bug', 'The Quillan Games', 'The Pilgrims of Rayne']",7,Yes
419,The School for Good and Evil,"['The School for Good and Evil', 'The Last Ever After', 'A World Without Princes', 'Quests for Glory']",4,Yes
420,Shifters,"['Stray', 'Prey', 'Pride', 'Rogue', 'Alpha', 'Shift']",6,Yes
421,The Last Apprentice / Wardstone Chronicles,"['Revenge of the Witch', 'Curse of the Bane', 'Night of the Soul Stealer', ""The Spook's Mistake"", 'Rage of the Fallen', 'Attack of the Fiend', ""The Spook's Sacrifice"", ""The Spook's Blood"", 'I Am Grimalkin', 'I Am Alice', 'Slither', ""The Spook's Revenge""]",12,Yes
422,Healer,"['Touch of Power', 'Scent of Magic', 'Taste of Darkness']",3,Yes
423,Night Prince,"['Once Burned', 'Twice Tempted', 'Bound by Flames']",3,No
424,The World As Myth,"['Time Enough for Love', 'The Number of the Beast', 'The Cat Who Walks Through Walls', 'To Sail Beyond the Sunset']",4,No
425,Immortals After Dark,['No Rest for the Wicked'],1,No
426,Ten Tiny Breaths,"['Ten Tiny Breaths', 'One Tiny Lie', 'Five Ways to Fall']",3,Yes
427,The Half Bad Trilogy,"['Half Bad', 'Half Wild', 'Half Lost']",3,No
428,Flat-Out Love,"['Flat-Out Love', 'Flat-Out Celeste']",2,Yes
429,Incarnations of Immortality,"['On a Pale Horse', 'With a Tangled Skein', 'Being a Green Mother', 'Bearing an Hourglass', 'And Eternity', 'For Love of Evil', 'Wielding a Red Sword']",7,Yes
